,location,floor,floors_count,rooms_count,total_meters,price,year_of_construction,living_meters,kitchen_meters,underground,price_meter
0,Балашиха,7,15,1.0,23.0,7070000.0,2019,36.35070730640222,12.128758683969064,Реутов,307391.3043478261
1,Балашиха,12,16,1.0,24.0,5350000.0,2021,15.0,4.0,Щёлковская,222916.66666666666
2,Балашиха,13,18,1.0,23.7,4300000.0,2023,14.0,4.0,Щёлковская,181434.59915611814
3,Балашиха,11,18,1.0,37.5,6400000.0,,17.1,11.2,Никольское,170666.66666666666
4,Балашиха,12,21,1.0,41.0,5900000.0,2011,20.0,9.0,Ольгино,143902.43902439025
5,Балашиха,14,17,1.0,31.9,6812883.0,2023,36.35070730640222,12.128758683969064,Железнодорожная,213570.0
6,Балашиха,9,19,1.0,37.5,6050000.0,2015,19.0,8.0,Кучино,161333.33333333334
7,Балашиха,20,22,1.0,29.8,5400000.0,2019,14.0,7.0,Ольгино,181208.05369127516
8,Балашиха,13,17,1.0,30.4,5280348.0,2025,36.35070730640222,12.128758683969064,Щёлковская,173695.65789473685
9,Балашиха,6,22,1.0,32.6,5999000.0,2022,12.5,11.0,Железнодорожная,184018.40490797546
10,Балашиха,3,3,1.0,31.0,5000000.0,1962,18.0,6.0,Кучино,161290.32258064515
11,Балашиха,9,17,1.0,33.5,5416441.0,2025,36.35070730640222,12.128758683969064,Щёлковская,161684.80597014926
12,Балашиха,11,17,1.0,37.0,6100000.0,2013,19.0,8.2,Железнодорожная,164864.86486486485
13,Балашиха,3,9,1.0,30.0,4200000.0,1984,18.0,6.0,Салтыковская,140000.0
14,Балашиха,2,25,1.0,40.35,6551338.0,2026,36.35070730640222,12.128758683969064,Щёлковская,162362.7757125155
15,Балашиха,4,9,1.0,36.0,5800000.0,1985,17.0,12.0,Железнодорожная,161111.11111111112
16,Балашиха,14,17,1.0,48.5,8287072.0,2022,36.35070730640222,12.128758683969064,Лухмановская,170867.46391752578
17,Балашиха,6,18,1.0,46.0,6200000.0,2016,19.3,10.0,Кучино,134782.60869565216
18,Балашиха,16,22,1.0,36.5,5200000.0,2021,22.0,6.1,Ольгино,142465.75342465754
19,Балашиха,17,21,1.0,31.1,5500000.0,2021,14.4,9.0,Ольгино,176848.87459807072
20,Балашиха,3,17,1.0,44.0,5500000.0,2008,20.0,8.5,Щёлковская,125000.0
21,Балашиха,4,5,2.0,42.0,6300000.0,1967,36.35070730640222,6.0,Салтыковская,150000.0
22,Балашиха,11,16,2.0,48.8,8250000.0,1998,27.7,12.0,Железнодорожная,169057.37704918033
23,Балашиха,2,9,2.0,46.0,6200000.0,,31.0,6.0,Кучино,134782.60869565216
24,Балашиха,10,22,1.0,39.16,6697711.0,2024,11.8,19.1,Некрасовка,171034.49948927478
25,Балашиха,9,25,1.0,34.0,7500000.0,2023,16.0,11.0,Щёлковская,220588.23529411765
26,Балашиха,14,17,1.0,33.52,5856580.0,2026,9.4,15.9,Салтыковская,174718.9737470167
27,Балашиха,10,27,2.0,60.0,7500000.0,2015,30.0,15.0,Щёлковская,125000.0
28,Балашиха,15,17,1.0,36.9,7306200.0,2024,9.0,16.1,Новокосино,198000.0
29,Балашиха,6,16,2.0,56.5,7800000.0,2001,30.0,8.0,Щёлковская,138053.09734513273
30,Балашиха,7,22,1.0,39.5,7134885.0,2024,11.8,19.1,Ольгино,180630.0
31,Балашиха,8,16,1.0,48.0,8500000.0,2007,36.35070730640222,16.0,Железнодорожная,177083.33333333334
32,Балашиха,6,22,1.0,38.2,8811365.0,2024,10.9,19.0,Ольгино,230664.0052356021
33,Балашиха,11,17,1.0,39.0,8500000.0,2013,18.5,12.5,Кучино,217948.71794871794
34,Балашиха,4,22,1.0,37.6,8566483.0,2024,10.9,19.0,Ольгино,227831.99468085106
35,Балашиха,14,16,1.0,31.5,8500000.0,2023,10.0,16.5,Реутов,269841.2698412698
